family,genus,keyword,action,video_id
dasyuridae,sarcophilus,tasmanian devil,eat,aTtyq9mw23M
dasyuridae,sarcophilus,tasmanian devil,eat,6r3_oVriZvw
dasyuridae,sarcophilus,tasmanian devil,drink,_NbiqEOduSo
dasyuridae,sarcophilus,tasmanian devil,mate,HIyTffLW4yo
dasyuridae,sarcophilus,tasmanian devil,mate,OhpRIhV8Kl8
canidae,canis,terrier,eat,G6LmOUQncRc
canidae,canis,terrier,eat,3GGmVPNgTjw
canidae,canis,terrier,eat,o_jyia14SiM
canidae,canis,terrier,eat,26KJZDjICJk
canidae,canis,terrier,eat,m5pujvbC4Fc
canidae,canis,terrier,eat,k0ELlZVv1lk
canidae,canis,terrier,eat,rr7iRoBztNI
canidae,canis,terrier,eat,R7kgntMMAL0
canidae,canis,terrier,eat,k5bkZf2gPco
canidae,canis,terrier,eat,YWHW_Q9oQOE
canidae,canis,terrier,eat,r-cFQSk_eFg
canidae,canis,terrier,eat,AZLY1ika3AU
canidae,canis,terrier,eat,_1x7ybOjkko
canidae,canis,terrier,eat,YOXtbTL0WsM
canidae,canis,terrier,eat,Bl5npZ_-J24
canidae,canis,terrier,eat,NNpSBbifvPU
canidae,canis,terrier,eat,ATcVPXKO1SU
canidae,canis,terrier,eat,JJ2ZFXqfEc8
canidae,canis,terrier,eat,v9uuHZ1AblM
canidae,canis,terrier,hunt,9Xe8JYCNwCk
canidae,canis,terrier,hunt,d9zKi4EQ7x8
canidae,canis,terrier,hunt,cmi5d9hPmA4
canidae,canis,terrier,hunt,RLbWMf-foDU
canidae,canis,terrier,hunt,GffvoWDhHfQ
canidae,canis,terrier,sleep,K76cocNWEWQ
canidae,canis,bulldog,fight,k0zd0HWSO1I
canidae,canis,bulldog,eat,PqoLVAVyqC4
canidae,canis,bulldog,eat,v2oJvNTD_t0
canidae,canis,bulldog,eat,-864tic-37w
canidae,canis,bulldog,eat,1xSTodsKx8I
canidae,canis,bulldog,eat,FcgNP0NS-Go
canidae,canis,bulldog,eat,fHrM6vr-Cfk
canidae,canis,bulldog,eat,e8ZQEz5XreM
canidae,canis,bulldog,eat,t-kE3d_zpe4
canidae,canis,bulldog,eat,dJr3DmmoxSw
canidae,canis,bulldog,eat,k5bkZf2gPco
canidae,canis,bulldog,eat,9SKzE7pMVtM
canidae,canis,bulldog,eat,HCk3OHcKbRk
canidae,canis,bulldog,eat,rr7iRoBztNI
canidae,canis,bulldog,eat,7m84Cy2_xWU
canidae,canis,bulldog,eat,D31UMDWG0ho
canidae,canis,bulldog,eat,8xgEZe51ohk
canidae,canis,bulldog,eat,WmctHWPP_dg
canidae,canis,bulldog,eat,k7Uf2yRERgs
canidae,canis,bulldog,eat,nacmEFDTRMc
canidae,canis,bulldog,eat,p72oxmIVPkE
canidae,canis,bulldog,eat,6jW-PdZt0iY
canidae,canis,bulldog,eat,BPO6NwkM7so
canidae,canis,bulldog,birth,tnky__A0b5c
canidae,canis,shepherd dog,fight,SDJKGiJp6w0
canidae,canis,hound,mate,1NhLqFcCvK4
canidae,canis,hound,eat,G6LmOUQncRc
canidae,canis,hound,eat,Sn807Vasc9E
canidae,canis,hound,eat,u5q4w5XuWac
canidae,canis,hound,eat,34oDYXILXgo
canidae,canis,hound,eat,P4YX7DebA44
canidae,canis,hound,eat,DM16CUxm8HM
canidae,canis,hound,eat,r20kaQNUJYw
canidae,canis,hound,eat,XW51r5Br_lc
canidae,canis,hound,eat,CuWL-IPZ554
canidae,canis,hound,eat,-oDpYtld0R0
canidae,canis,hound,eat,MTcbqzYIqpk
canidae,canis,hound,eat,CVvZYpKHMew
canidae,canis,hound,eat,ph4QAn6S3WY
canidae,canis,hound,eat,r-cFQSk_eFg
canidae,canis,hound,eat,_1x7ybOjkko
canidae,canis,hound,eat,WQTleBV8kGs
canidae,canis,hound,eat,JJ2ZFXqfEc8
canidae,canis,hound,hunt,0llbppBrSYc
canidae,canis,wolf,hunt,pxGBVBN92iE
canidae,canis,wolf,hunt,Ov5TAyB1Azg
canidae,canis,wolf,hunt,M6MjnVb0_94
canidae,canis,wolf,hunt,_UH-6r5jrGI
canidae,canis,wolf,hunt,BAkfazw0aAo
canidae,canis,wolf,hunt,fFpfcKtWkcg
canidae,canis,wolf,hunt,AL5u60dFqM4
canidae,canis,wolf,hunt,PCr65iD8Id4
canidae,canis,wolf,hunt,Fhl5mrsrDu4
canidae,canis,wolf,hunt,gGludGaPKag
canidae,canis,wolf,hunt,YjY-angzddM
canidae,canis,wolf,hunt,6NPe4QReznM
canidae,canis,wolf,hunt,bWqtp0sbjPk
canidae,canis,wolf,hunt,ppp8FXazer0
canidae,canis,wolf,hunt,ZMuMIcQx9Qc
canidae,canis,wolf,hunt,GkOSNpPV3Qc
canidae,canis,wolf,hunt,ZhbSOgL6gSU
canidae,canis,wolf,hunt,nK1JOmMQ5Fc
canidae,canis,wolf,hunt,yCn9H4A7ZVY
canidae,canis,wolf,hunt,j-lvEdBZQJw
canidae,canis,wolf,hunt,H-pEuxebR2M
canidae,canis,wolf,hunt,0T5aGLybXEs
canidae,canis,wolf,hunt,8TcSmQ6OgUw
canidae,canis,wolf,hunt,YXMo5w9aMNs
canidae,canis,wolf,hunt,wuIdOLFQVNo
canidae,canis,wolf,hunt,sj7SJYy8tno
canidae,canis,wolf,hunt,T0XvJPXu1Ag
canidae,canis,wolf,hunt,a9zVos21AjU
canidae,canis,wolf,eat,34oDYXILXgo
canidae,canis,wolf,eat,6f94-bOHIpU
canidae,canis,wolf,eat,BuvO5Ko_Qhw
canidae,canis,wolf,eat,ZC8e-CEfsH4
canidae,canis,wolf,eat,AZLY1ika3AU
canidae,canis,wolf,eat,TGv6pP6lo0Q
canidae,canis,wolf,eat,GHsuP2yVPww
canidae,canis,wolf,eat,6qiuPYAMRxk
canidae,canis,wolf,eat,Yl8t5cmfrhE
canidae,canis,wolf,eat,UitH2v8it1M
canidae,canis,wolf,eat,fh_xQmBKUB0
canidae,canis,wolf,eat,JTOgH_KOWmg
canidae,canis,wolf,eat,5duh9CJA0kY
canidae,canis,wolf,eat,p-34GNAzpPM
canidae,canis,wolf,eat,J9aCSpHdA04
canidae,canis,wolf,eat,NeL1WNq-GK8
canidae,canis,wolf,eat,Lv659ZM6L6o
canidae,canis,wolf,eat,8r4lu5GrFSk
canidae,canis,wolf,eat,xnarDfTTIL8
canidae,canis,wolf,eat,ivMSAu1k5Ow
canidae,canis,wolf,eat,H3al2YI_128
canidae,canis,wolf,eat,OQ6-HmPvl5Y
canidae,canis,wolf,eat,rPmhHJYCKos
canidae,canis,wolf,eat,TN0e8HVLlhQ
canidae,canis,wolf,eat,CuWL-IPZ554
canidae,canis,wolf,eat,OpGeK0fkxL4
canidae,canis,wolf,eat,0cWQDPzvo6M
canidae,canis,wolf,eat,r_-E9KqJmT4
canidae,canis,wolf,eat,130uqjizMTc
canidae,canis,wolf,eat,hau0nJMtvaw
canidae,canis,wolf,eat,CSrqCUdRKjg
canidae,canis,wolf,eat,-N2LONzZWF0
canidae,canis,wolf,eat,GEvCMbC5w9Y
canidae,canis,wolf,eat,g0EZOp0lFmg
canidae,canis,wolf,eat,RyRlt8v-pNM
canidae,canis,wolf,eat,nNrieMwfpWQ
canidae,canis,wolf,eat,AZG8QK8yYRg
canidae,canis,wolf,eat,TEbp8iB8N6Y
canidae,canis,wolf,eat,5rqsqq1KWrM
canidae,canis,wolf,eat,T2glAL1hj3U
canidae,canis,wolf,eat,vE1Y7Lexwag
canidae,canis,wolf,eat,s0QFE-hxgI8
canidae,canis,wolf,eat,rrpQpNzyftQ
canidae,canis,wolf,eat,A_9j8nvV6Zc
canidae,canis,wolf,eat,2Fhn7OyW1zY
canidae,canis,wolf,eat,EVAkZWJLx5A
canidae,canis,wolf,eat,pJ2kSnGhZXQ
canidae,canis,wolf,eat,vhdRvkxIbK4
canidae,canis,wolf,eat,zUtMAjqCNuM
canidae,canis,wolf,eat,ROU7vh2QJTM
canidae,canis,wolf,eat,p1lKCEYlz48
canidae,canis,wolf,eat,LPMXYwVvmo8
canidae,canis,wolf,eat,HR8Vs4HylBU
canidae,canis,wolf,eat,k-MTc6HTz8A
canidae,canis,wolf,eat,TLcrvKsgh3Q
canidae,canis,wolf,eat,kZKX-cV0QIM
canidae,canis,wolf,eat,_VyjOee-Cmk
canidae,canis,wolf,eat,4ePwSzTdYxs
canidae,canis,wolf,eat,cEgsH7tDDm0
canidae,canis,wolf,eat,Cm_1QCT5Nhs
canidae,canis,wolf,eat,ClMfgwlF9NA
canidae,canis,wolf,eat,HCU0KuREl40
canidae,canis,wolf,eat,se2Fn-y3B6A
canidae,canis,wolf,eat,edNZsCPQcFI
canidae,canis,wolf,eat,eEaZvEZye84
canidae,canis,wolf,eat,82kQTkWnKwg
canidae,canis,wolf,eat,mSS1oXno0m0
canidae,canis,wolf,eat,izizsAodOCk
canidae,canis,wolf,eat,HJcZxp9cZII
canidae,canis,wolf,eat,HAoYiG-WFjI
canidae,canis,wolf,eat,6OEHHTv-wa0
canidae,canis,wolf,eat,4UHXfOtnKeY
canidae,canis,wolf,eat,jkMBEIzmTH0
